iter	Passed	Remaining
1270	118483	75229
1271	118576	75136
1272	118655	75033
1273	118736	74932
1274	118875	74868
1275	118962	74771
1276	119038	74667
1277	119157	74590
1278	119252	74497
1279	119321	74389
1280	119423	74301
1281	119511	74205
1282	119606	74113
1283	119709	74026
1284	119797	73929
1285	119873	73825
1286	119948	73720
1287	120031	73622
1288	120121	73526
1289	120199	73424
1290	120292	73330
1291	120379	73233
1292	120472	73140
1293	120547	73036
1294	120641	72943
1295	120744	72856
1296	120823	72755
1297	120916	72661
1298	120992	72558
1299	121069	72455
1300	121171	72367
1301	121250	72266
1302	121352	72178
1303	121453	72089
1304	121568	72009
1305	121657	71913
1306	121748	71819
1307	121838	71724
1308	121937	71634
1309	122046	71550
1310	122134	71454
1311	122228	71362
1312	122329	71273
1313	122428	71183
1314	122522	71090
1315	122618	70999
1316	122719	70910
1317	122812	70817
1318	122917	70731
1319	123017	70641
1320	123104	70544
1321	123195	70450
1322	123273	70348
1323	123353	70247
1324	123459	70162
1325	123570	70078
1326	123660	69984
1327	123761	69895
1328	123850	69799
1329	123944	69707
1330	124032	69610
1331	124113	69510
1332	124197	69412
1333	124306	69328
1334	124392	69230
1335	124479	69134
1336	124555	69031
1337	124638	68933
1338	124726	68837
1339	124834	68751
1340	124931	68660
1341	125025	68568
1342	125110	68470
1343	125204	68378
1344	125289	68280
1345	125391	68192
1346	125486	68100
1347	125597	68016
1348	125681	67918
1349	125778	67827
1350	125872	67734
1351	125968	67643
1352	126063	67550
1353	126147	67452
1354	126217	67347
1355	126316	67256
1356	126409	67163
1357	126484	67060
1358	126584	66971
1359	126684	66881
1360	126783	66791
1361	126886	66704
1362	126988	66615
1363	127096	66529
1364	127192	66438
1365	127278	66341
1366	127389	66257
1367	127486	66166
1368	127570	66068
1369	127657	65971
1370	127754	65880
1371	127836	65781
1372	127921	65684
1373	127997	65582
1374	128096	65492
1375	128206	65407
1376	128304	65316
1377	128420	65235
1378	128500	65135
1379	128580	65035
1380	128692	64951
1381	128798	64865
1382	128913	64782
1383	129017	64695
1384	129118	64605
1385	129219	64516
1386	129327	64430
1387	129427	64340
1388	129532	64253
1389	129634	64164
1390	129731	64073
1391	129829	63981
1392	129935	63894
1393	130028	63801
1394	130135	63715
1395	130209	63612
1396	130297	63516
1397	130390	63422
1398	130470	63323
1399	130571	63233
1400	130685	63150
1401	130761	63049
1402	130849	62953
1403	130948	62862
1404	131027	62762
1405	131116	62667
1406	131196	62567
1407	131294	62476
1408	131404	62391
1409	131481	62290
1410	131560	62190
1411	131673	62106
1412	131748	62004
1413	131834	61908
1414	131926	61814
1415	132029	61725
1416	132103	61623
1417	132193	61528
1418	132283	61434
1419	132382	61343
1420	132463	61244
1421	132571	61157
1422	132668	61066
1423	132783	60983
1424	132868	60886
1425	132966	60795
1426	133049	60697
1427	133157	60610
1428	133245	60515
1429	133332	60419
1430	133463	60342
1431	133562	60252
1432	133657	60159
1433	133747	60064
1434	133856	59978
1435	133960	59890
1436	134061	59800
1437	134154	59707
1438	134272	59624
1439	134369	59532
1440	134470	59443
1441	134557	59346
1442	134651	59254
1443	134740	59159
1444	134845	59070
1445	134942	58978
1446	135048	58891
1447	135160	58805
1448	135252	58711
1449	135350	58620
1450	135437	58524
1451	135529	58430
1452	135634	58342
1453	135729	58249
1454	135824	58157
1455	135904	58058
1456	136011	57970
1457	136086	57869
1458	136174	57773
1459	136278	57685
1460	136349	57582
1461	136447	57491
1462	136554	57403
1463	136668	57318
1464	136765	57226
1465	136861	57134
1466	136949	57038
1467	137052	56949
1468	137153	56859
1469	137242	56764
1470	137346	56675
1471	137445	56584
1472	137557	56498
1473	137650	56404
1474	137734	56307
1475	137839	56219
1476	137951	56133
1477	138032	56034
1478	138117	55937
1479	138224	55850
1480	138320	55757
1481	138420	55667
1482	138534	55582
1483	138620	55485
1484	138731	55399
1485	138824	55305
1486	138922	55214
1487	139027	55124
1488	139127	55034
1489	139232	54945
1490	139335	54855
1491	139435	54764
1492	139509	54663
1493	139614	54574
1494	139715	54484
1495	139808	54390
1496	139907	54299
1497	140016	54211
1498	140092	54111
1499	140188	54019
1500	140287	53928
1501	140381	53834
1502	140477	53742
1503	140561	53645
1504	140676	53559
1505	140767	53465
1506	140854	53369
1507	140951	53277
1508	141032	53179
1509	141136	53089
1510	141227	52995
1511	141329	52905
1512	141427	52813
1513	141518	52718
1514	141606	52623
1515	141686	52524
1516	141801	52439
1517	141898	52347
1518	141988	52252
1519	142074	52156
1520	142177	52066
1521	142262	51969
1522	142376	51883
1523	142453	51784
1524	142547	51691
1525	142653	51602
1526	142767	51515
1527	142858	51421
1528	142962	51331
1529	143044	51234
1530	143140	51141
1531	143244	51051
1532	143323	50953
1533	143427	50863
1534	143517	50768
1535	143612	50675
1536	143713	50584
1537	143817	50495
1538	143936	50410
1539	144031	50317
1540	144126	50224
1541	144221	50131
1542	144322	50040
1543	144426	49950
1544	144543	49865
1545	144643	49773
1546	144734	49679
1547	144829	49586
1548	144942	49499
1549	145042	49408
1550	145129	49312
1551	145210	49214
1552	145311	49123
1553	145411	49032
1554	145495	48935
1555	145607	48847
1556	145722	48761
1557	145822	48670
1558	145934	48582
1559	146028	48489
1560	146109	48391
1561	146204	48298
1562	146302	48205
1563	146395	48111
1564	146485	48017
1565	146580	47924
1566	146665	47827
1567	146768	47737
1568	146850	47639
1569	146938	47544
1570	147047	47455
1571	147146	47364
1572	147247	47272
1573	147350	47182
1574	147426	47082
1575	147521	46989
1576	147607	46893
1577	147702	46800
1578	147788	46704
1579	147907	46619
1580	147999	46524
1581	148087	46429
1582	148200	46341
1583	148292	46247
1584	148405	46160
1585	148528	46075
1586	148616	45980
1587	148721	45889
1588	148827	45800
1589	148904	45701
1590	149013	45612
1591	149104	45517
1592	149191	45422
1593	149306	45335
1594	149407	45243
1595	149499	45149
1596	149609	45060
1597	149705	44967
1598	149801	44874
1599	149882	44777
1600	149975	44683
1601	150075	44591
1602	150179	44501
1603	150277	44408
1604	150362	44312
1605	150461	44220
1606	150572	44131
1607	150674	44040
1608	150771	43947
1609	150887	43860
1610	150980	43766
1611	151066	43670
1612	151157	43576
1613	151280	43490
1614	151383	43399
1615	151473	43304
1616	151559	43209
1617	151646	43113
1618	151742	43020
1619	151840	42927
1620	151909	42826
1621	152024	42739
1622	152118	42645
1623	152205	42550
1624	152288	42453
1625	152397	42363
1626	152507	42274
1627	152585	42176
1628	152693	42086
1629	152802	41997
1630	152901	41904
1631	153001	41812
1632	153103	41721
1633	153185	41624
1634	153265	41526
1635	153369	41435
1636	153458	41341
1637	153579	41254
1638	153668	41159
1639	153749	41062
1640	153830	40965
1641	153939	40875
1642	154044	40784
1643	154153	40694
1644	154267	40606
1645	154383	40518
1646	154485	40426
1647	154563	40329
1648	154656	40235
1649	154752	40141
1650	154855	40050
1651	154939	39954
1652	155036	39861
1653	155146	39771
1654	155248	39679
1655	155344	39586
1656	155439	39492
1657	155536	39400
1658	155615	39302
1659	155739	39216
